vertex,x,y,z
409,0.462127,0.602667,-0.197903
410,-0.512093,0.812164,0.567334
411,-0.561536,0.870157,0.633709
412,0.286574,0.533489,-0.154778
413,0.331761,0.456346,-0.194445
414,0.261647,0.460698,-0.0819567
415,0.659422,0.165324,-0.200503
416,0.593956,0.213444,-0.160083
417,0.669645,0.507422,0.0877731
418,-0.634265,1.10001,0.272193
419,-0.658162,1.17169,0.327784
420,-0.407646,0.555585,0.863701
421,0.572973,-0.0996012,-0.146566
422,-0.118607,0.769381,0.156715
423,-0.0462437,0.791948,0.142489
424,-0.198649,0.798661,0.288006
425,-0.300961,0.412625,0.272722
426,-0.290111,0.336281,0.267346
427,-0.837706,0.841355,1.18006
428,0.279268,0.267834,0.322567
429,-0.72521,0.470384,0.396746
430,-0.702227,0.924903,1.03803
