Index: 60, X: -0.200981, Y: -0.760894, Z: 0.0851413
Index: 173, X: -0.0644206, Y: -0.708008, Z: 0.0924971
Index: 114, X: -0.357782, Y: -0.799975, Z: -0.136576
Index: 50, X: -0.0618126, Y: -0.593437, Z: -0.123437
Index: 231, X: 0.0506469, Y: -0.474591, Z: -0.156001
Index: 395, X: -0.354103, Y: -0.602036, Z: 0.160704
Index: 396, X: -0.404674, Y: -0.717305, Z: 0.0629403
Index: 134, X: -0.154951, Y: -0.605565, Z: -0.258155
Index: 397, X: -0.338348, Y: -0.602197, Z: 0.0026534
Index: 85, X: 0.0453213, Y: -0.712545, Z: 0.260601
Index: 398, X: -0.27007, Y: -0.635299, Z: 0.0840211
Index: 314, X: 0.0466627, Y: -0.613094, Z: 0.0294492
Index: 48, X: -0.181566, Y: -0.863412, Z: 0.264117
Index: 89, X: -0.0823227, Y: -0.762395, Z: 0.262101
Index: 402, X: 0.00303264, Y: -0.400571, Z: -0.074309
Index: 84, X: -0.283328, Y: -0.943251, Z: 0.128497
Index: 20, X: 0.182421, Y: -0.70411, Z: -0.255123
Index: 403, X: -0.211481, Y: -0.470064, Z: -0.25751
Index: 404, X: -0.304923, Y: -0.621191, Z: -0.133756
Index: 35, X: -0.0367227, Y: -0.92635, Z: -0.260207
Index: 14, X: -0.263604, Y: -0.974266, Z: -0.26341
Index: 405, X: -0.413145, Y: -0.700161, Z: -0.0815462
Index: 106, X: -0.191733, Y: -0.756769, Z: 0.263729
Index: 213, X: 0.0503561, Y: -0.702454, Z: 0.173024
Index: 277, X: -0.0479603, Y: -0.656275, Z: 0.259757
Index: 333, X: 0.0328482, Y: -0.617738, Z: 0.257714
Index: 46, X: -0.0557661, Y: -0.82812, Z: -0.0140533
Index: 220, X: -0.141795, Y: -0.966435, Z: -0.0536796
Index: 337, X: 0.0100747, Y: -0.818568, Z: -0.167328
Index: 31, X: -0.101148, Y: -0.728809, Z: -0.258469
Index: 406, X: -0.0549966, Y: -0.541354, Z: 0.255852
Index: 407, X: 0.00973976, Y: -0.401292, Z: 0.24876
Index: 408, X: 0.0534364, Y: -0.481371, Z: 0.146502
Index: 18, X: -0.266435, Y: -0.972897, Z: 0.265312
Index: 409, X: -0.0813074, Y: -0.45709, Z: 0.1417
Index: 410, X: -0.224053, Y: -0.565374, Z: -0.00265521
Index: 110, X: -0.302835, Y: -0.90594, Z: -0.135855
Index: 320, X: -0.194032, Y: -0.928659, Z: -0.150334
Index: 411, X: 0.0237103, Y: -0.433201, Z: 0.0341941
Index: 81, X: 0.127865, Y: -0.61191, Z: -0.124312
Index: 24, X: 0.102289, Y: -0.569435, Z: 0.03224
Index: 183, X: 0.0746851, Y: -0.74391, Z: 0.0247386
Index: 335, X: 0.00265096, Y: -0.576011, Z: 0.145149
Index: 79, X: 0.0986381, Y: -0.555439, Z: 0.255057
Index: 80, X: -0.335749, Y: -0.833834, Z: -0.266075
Index: 162, X: 0.164764, Y: -0.678308, Z: 0.095026
Index: 305, X: 0.130376, Y: -0.825456, Z: 0.143041
Index: 326, X: 0.163671, Y: -0.675146, Z: 0.186946
Index: 419, X: -0.17857, Y: -0.490544, Z: -0.0599969
Index: 36, X: -0.0572884, Y: -0.893592, Z: 0.263912
Index: 131, X: 0.219867, Y: -0.7734, Z: -0.146774
Index: 331, X: -0.169658, Y: -0.994487, Z: 0.166284
Index: 61, X: 0.0984297, Y: -0.556345, Z: -0.251606
Index: 185, X: 0.120961, Y: -0.598751, Z: 0.161522
Index: 412, X: -0.408381, Y: -0.699737, Z: 0.272488
Index: 298, X: 0.173997, Y: -0.695378, Z: -0.0204504
Index: 184, X: 0.139766, Y: -0.630772, Z: 0.25816
Index: 413, X: -0.277894, Y: -0.500975, Z: 0.139173
Index: 414, X: -0.0190697, Y: -0.363138, Z: -0.168451
Index: 16, X: 0.180281, Y: -0.704239, Z: 0.261031
Index: 415, X: 0.01013, Y: -0.403047, Z: -0.247597
Index: 416, X: -0.182393, Y: -0.48115, Z: 0.0784907
Index: 269, X: -0.303246, Y: -0.903232, Z: 0.266499
Index: 417, X: -0.111769, Y: -0.38509, Z: 0.00119729
Index: 300, X: 0.111896, Y: -0.820061, Z: 0.263307
Index: 418, X: -0.0397257, Y: -0.329228, Z: 0.119548
Index: 67, X: -0.228566, Y: -1.04427, Z: -0.123015
Index: 99, X: -0.0950478, Y: -0.997823, Z: 0.0572473
Index: 420, X: -0.283001, Y: -0.943856, Z: -0.0101715
Index: 424, X: -0.228505, Y: -1.044, Z: -0.123033
Index: 55, X: -0.22174, Y: -1.05876, Z: 0.0365447
Index: 421, X: -0.141637, Y: -0.966864, Z: -0.053703
Index: 109, X: 0.0453694, Y: -0.934765, Z: -0.146331
Index: 45, X: 0.227172, Y: -1.05101, Z: 0.267716
Index: 422, X: -0.189126, Y: -0.908143, Z: 0.066199
Index: 294, X: 0.143584, Y: -1.0154, Z: -0.260134
Index: 439, X: 0.182488, Y: -0.704233, Z: -0.255167
Index: 40, X: 0.260466, Y: -0.846421, Z: 0.265423
Index: 168, X: 0.230246, Y: -1.05192, Z: -0.260397
Index: 423, X: 0.13034, Y: -0.825395, Z: 0.142988
Index: 295, X: -0.164384, Y: -1.16036, Z: -0.166786
Index: 152, X: 0.140808, Y: -1.1062, Z: -0.130898
Index: 90, X: 0.263182, Y: -1.03351, Z: -0.128877
Index: 426, X: 0.003599, Y: -0.845623, Z: 0.108921
Index: 49, X: 0.144443, Y: -0.930684, Z: 0.265733
Index: 313, X: 0.218849, Y: -0.960388, Z: -0.259289
Index: 178, X: 0.270511, Y: -1.02724, Z: 0.179281
Index: 180, X: 0.175032, Y: -0.955633, Z: 0.152169
Index: 271, X: 0.0718666, Y: -1.01836, Z: 0.177393
Index: 64, X: 0.116724, Y: -0.908839, Z: -0.258871
Index: 430, X: -0.036723, Y: -0.926302, Z: -0.260159
Index: 181, X: -0.168689, Y: -1.15497, Z: -0.05667
Index: 53, X: 0.263306, Y: -0.846747, Z: -0.257176
Index: 175, X: 0.111954, Y: -0.874814, Z: -0.00296124
Index: 288, X: -0.161065, Y: -1.1693, Z: 0.0474793
Index: 239, X: 0.171864, Y: -0.882961, Z: -0.155606
Index: 2, X: 0.34025, Y: -0.984058, Z: 0.267907
Index: 125, X: 0.341548, Y: -0.9861, Z: 0.136426
Index: 339, X: -0.0950448, Y: -1.00153, Z: -0.179975
Index: 129, X: -0.0727711, Y: -1.08699, Z: -0.261109
Index: 434, X: 0.112044, Y: -0.82014, Z: 0.263215
Index: 306, X: -0.0703293, Y: -1.11938, Z: -0.137059
Index: 176, X: -0.00923715, Y: -1.07555, Z: 0.0174399
Index: 112, X: 0.264842, Y: -0.853842, Z: 0.112129
Index: 432, X: 0.00994589, Y: -0.81969, Z: -0.167423
Index: 127, X: -0.0396905, Y: -0.976686, Z: 0.176666
Index: 63, X: -0.188948, Y: -1.11387, Z: -0.262232
Index: 118, X: -0.145131, Y: -0.992498, Z: -0.261655
Index: 316, X: 0.216161, Y: -0.768406, Z: 0.0558948
Index: 318, X: 0.19818, Y: -0.916405, Z: 0.0466199
Index: 425, X: -0.0558501, Y: -0.831136, Z: -0.0140598
Index: 278, X: 0.00251304, Y: -0.923845, Z: -0.0338411
Index: 146, X: 0.290223, Y: -0.89481, Z: -0.169846
Index: 103, X: -0.134399, Y: -0.965235, Z: 0.264556
Index: 39, X: 0.22824, Y: -0.788786, Z: -0.0303575
Index: 207, X: 0.20501, Y: -0.95066, Z: -0.0644392
Index: 263, X: -0.0248918, Y: -1.20281, Z: -0.0311552
Index: 56, X: 0.048056, Y: -0.9447, Z: 0.0833078
Index: 169, X: 0.0959727, Y: -1.01452, Z: 0.266431
Index: 23, X: -0.113697, Y: -1.25271, Z: 0.00213152
Index: 165, X: 0.209406, Y: -0.757515, Z: 0.162577
Index: 427, X: 0.16512, Y: -0.678518, Z: 0.0951302
Index: 428, X: 0.163973, Y: -0.675433, Z: 0.187106
Index: 75, X: -0.0608517, Y: -1.01031, Z: -0.0835637
Index: 208, X: 0.0840219, Y: -1.01248, Z: -0.0654892
Index: 144, X: 0.282171, Y: -0.882937, Z: -0.0590503
Index: 309, X: 0.25725, Y: -0.840325, Z: 0.0223114
Index: 429, X: -0.0948264, Y: -0.875383, Z: -0.132284
Index: 431, X: -0.0683849, Y: -0.818546, Z: -0.259132
Index: 433, X: -0.0570987, Y: -0.893614, Z: 0.263968
